#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Sep 13 13:17:33 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       BMD_DC_TOP_V2_map.ncd
#OUTPUT FILE:      BMD_DC_TOP_V2_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,MAS_ACK_N,IOB,IO_L83N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P2,MAS_ACK_P,IOB,IO_L83P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,SCLK,IOB,IO_L52N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P6,PCLK,IOB,IO_L52P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P7,SHOUT,IOB,IO_L51N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P8,TX_TRIG<2>,IOB,IO_L51P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P9,TX_TRIG<3>,IOB,IO_L50N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P10,TX_TRIG<4>,IOB,IO_L50P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P11,CALIB_EN,IOB,IO_L49N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P12,DC_DC_DATA_IN,IOB,IO_L49P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,RD_COLSEL_S<0>,IOB,IO_L44N_GCLK20_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P15,RD_COLSEL_S<1>,IOB,IO_L44P_GCLK21_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P16,RD_COLSEL_S<2>,IOB,IO_L43N_GCLK22_IRDY2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P17,RD_COLSEL_S<3>,IOB,IO_L43P_GCLK23_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,2.50,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,RD_COLSEL_S<4>,IOB,IO_L42N_GCLK24_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P22,RD_COLSEL_S<5>,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,LOCATED,NO,NONE,
P23,TX_HW_TRIG,IOB,IO_L41N_GCLK26_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P24,TX_TRIG16,IOB,IO_L41P_GCLK27_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,YES,NONE,
P25,,,GND,,,,,,,,,,,,
P26,SC_DC_TRIG,IOB,IO_L37N_3,BIDIR,LVCMOS25*,3,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P27,DC_ADDRESS<3>,IOB,IO_L37P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,DC_ADDRESS<2>,IOB,IO_L36N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P30,DC_ADDRESS<1>,IOB,IO_L36P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,2.50,,,,
P32,MON_Timing,IOB,IO_L2N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P33,TX_TRIG<1>,IOB,IO_L2P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P34,TX_TRIG<0>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
P35,DC_ADDRESS<0>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,,IOBS,IO_L65N_CSO_B_2,UNUSED,,2,,,,,,,,,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P41,,IOBM,IO_L64P_D8_2,UNUSED,,2,,,,,,,,,
P42,,,VCCO_2,,,2,,,,,2.50,,,,
P43,SSTIN_N,IOBS,IO_L62N_D6_2,,LVDS_25,2,,,,,,LOCATED,NO,,
P44,SSTIN_P,IOBM,IO_L62P_D5_2,OUTPUT,LVDS_25,2,,,,,,LOCATED,NO,NONE,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P46,DAC_SDI,IOB,IO_L49P_D3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P47,DAC_SCLK,IOB,IO_L48N_RDWR_B_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P48,DAC_SYNC,IOB,IO_L48P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,DAC_LDAC,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P51,,IOBM,IO_L31P_GCLK31_D14_2,UNUSED,,2,,,,,,,,,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,WR_ADDRCLR,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
P56,WR1_ENA,IOB,IO_L30P_GCLK1_D13_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,LOCATED,NO,NONE,
